ts,mbps,fps,bytes_sent,interval_s
2025-11-01T23:51:19Z,0.075288,29.921289146534995,9411,0.03679975
2025-11-01T23:51:19Z,0.011808,30.27647041531941,1476,0.029108241
2025-11-01T23:51:19Z,0.069584,29.875277141120407,8698,0.038351474
2025-11-01T23:51:19Z,0.045928,29.988875234569523,5741,0.03182417
2025-11-01T23:51:19Z,0.054728,30.029924197414292,6841,0.032707559
2025-11-01T23:51:19Z,0.051832,30.040367585072733,6479,0.033126468
2025-11-01T23:51:19Z,0.054104,29.967773892127077,6763,0.034578747
2025-11-01T23:51:19Z,0.039592,30.07698875812568,4949,0.031309299
2025-11-01T23:51:19Z,0.021648,30.089012677241566,2706,0.033008856
2025-11-01T23:51:19Z,0.018976,30.136445931211025,2372,0.032240837
2025-11-01T23:51:19Z,0.069856,29.97949535926181,8732,0.036656787
2025-11-01T23:51:19Z,0.03048,30.050382428250085,3810,0.031703744
2025-11-01T23:51:19Z,0.064944,29.954167115281376,8118,0.035629026
2025-11-01T23:51:19Z,0.04288,30.04644490620634,5360,0.031026169
2025-11-01T23:51:19Z,0.34736,29.30743297410838,43420,0.053423308
2025-11-01T23:51:19Z,0.021912,30.065043653469278,2739,0.01262559
2025-11-01T23:51:19Z,0.05516,30.009758954309856,6895,0.034854359
2025-11-01T23:51:20Z,0.06536,29.843971538639977,8170,0.038320493
2025-11-01T23:51:20Z,0.06376,29.801560064625495,7970,0.034842803
2025-11-01T23:51:20Z,0.055056,30.002784848143815,6882,0.027028812
2025-11-01T23:51:20Z,0.049568,30.023210163173687,6196,0.032649985
2025-11-01T23:51:20Z,0.051752,30.023872038768744,6469,0.033284802
2025-11-01T23:51:20Z,0.052976,30.042188545796748,6622,0.033286523
2025-11-01T23:51:20Z,0.050272,30.029817206100283,6284,0.033313949
2025-11-01T23:51:20Z,0.054304,29.978350235027268,6788,0.033471746
2025-11-01T23:51:20Z,0.044304,29.79427832913538,5538,0.034181747
2025-11-01T23:51:20Z,0.0568,29.98876980548324,7100,0.032475115
2025-11-01T23:51:20Z,0.050704,30.032544767136905,6338,0.03305419
2025-11-01T23:51:20Z,0.029432,30.217310986359852,3679,0.031872022
2025-11-01T23:51:20Z,0.043256,30.08684221005246,5407,0.034241672
2025-11-01T23:51:20Z,0.056768,29.976855968657983,7096,0.034334655
2025-11-01T23:51:20Z,0.046248,29.957647046953255,5781,0.033572968
2025-11-01T23:51:20Z,0.046952,29.974120889008447,5869,0.033178653
2025-11-01T23:51:20Z,0.030464,30.005495206392098,3808,0.032943504
2025-11-01T23:51:20Z,0.064168,29.902677572467603,8021,0.034816933
2025-11-01T23:51:20Z,0.049512,30.023858587900552,6189,0.031552151
2025-11-01T23:51:20Z,0.061728,29.98311614749995,7716,0.033985728
2025-11-01T23:51:20Z,0.049584,30.025722849104064,6198,0.032594874
2025-11-01T23:51:20Z,0.039128,30.05850261610111,4891,0.032687338
2025-11-01T23:51:20Z,0.054968,30.009756121698903,6871,0.034241173
2025-11-01T23:51:20Z,0.048736,30.03449395238392,6092,0.032801023
2025-11-01T23:51:20Z,0.010784,30.10677939837102,1348,0.031696243
2025-11-01T23:51:20Z,0.061616,29.991363901075072,7702,0.03589936
2025-11-01T23:51:20Z,0.04228,30.047881736607383,5285,0.031963189
2025-11-01T23:51:20Z,0.227928,29.55706386794581,28491,0.045991021
2025-11-01T23:51:20Z,0.012848,30.055971356959855,1606,0.020354433
2025-11-01T23:51:20Z,0.052864,29.981321169202978,6608,0.035342303
2025-11-01T23:51:21Z,0.020344,30.05238563107505,2543,0.031303429
2025-11-01T23:51:21Z,0.048184,30.02373038954319,6023,0.034132709
2025-11-01T23:51:21Z,0.05576,30.009622456828115,6970,0.033745413
2025-11-01T23:51:21Z,0.049464,29.984121164204144,6183,0.034144525
2025-11-01T23:51:21Z,0.053264,30.00916780076313,6658,0.032515911
2025-11-01T23:51:21Z,0.040288,30.03948675029075,5036,0.032280522
2025-11-01T23:51:21Z,0.057888,28.969019256170604,7236,0.034519636
2025-11-01T23:51:21Z,0.040216,29.994463172070752,5027,0.032159337
2025-11-01T23:51:21Z,0.053496,29.76887298172623,6687,0.034097432
2025-11-01T23:51:21Z,0.036864,30.049222053060962,4608,0.032338522
2025-11-01T23:51:21Z,0.055744,29.79636035074607,6968,0.034690803
